1,"South Africa",320,"South Africa","","","",\N
2,"Zaire",320,"Zaire","","","",\N
3,"Zimbabwe",320,"Zimbabwe","","","",\N
4,"Canada",320,"Canada","","","",\N
5,"USA",320,"USA","","","",\N
6,"Mexico",320,"Mexico","","","",\N
7,"Malawi",320,"Malawi","","","",\N
8,"Namibia",320,"Namibia","","","",\N
9,"Botswana",320,"Botswana","","","",\N
10,"Mozambique",320,"Mozambique","","","",\N
11,"Nearctic",318,"","","","",\N
12,"Neotropical",318,"","","","",\N
13,"Palearctic",318,"","","","",\N
14,"Ethiopian",318,"","","","",\N
15,"Oriental",318,"","","","",\N
16,"Australian",318,"","","","",\N
17,"Oceania",318,"","","","",\N
18,"Nearctic/Neotropical",318,"","","","",\N
19,"Guatemala",320,"Guatemala","","","",\N
20,"Belize",320,"Belize","","","",\N
21,"Honduras",320,"Honduras","","","",\N
22,"Nicaragua",320,"Nicaragua","","","",\N
23,"Costa Rica",320,"Costa Rica","","","",\N
24,"Panama",320,"Panama","","","",\N
25,"Colombia",320,"Colombia","","","",\N
26,"Venezuela",320,"Venezuela","","","",\N
27,"Brazil",320,"Brazil","","","",\N
28,"Guyana",320,"Guyana","","","",\N
29,"French Guyana",326,"France","French Guyana","","",\N
30,"Ecuador",320,"Ecuador","","","",\N
31,"Peru",320,"Peru","","","",\N
32,"Bolivia",320,"Bolivia","","","",\N
33,"Paraguay",320,"Paraguay","","","",\N
34,"Chile",320,"Chile","","","",\N
35,"Argentina",320,"Argentina","","","",\N
36,"Uruguay",320,"Uruguay","","","",\N
37,"Cape Province",321,"South Africa","Cape Province","","",\N
38,"Orange Free State",321,"South Africa","Orange Free State","","",\N
39,"Transvaal",321,"South Africa","Transvaal","","",\N
40,"Natal",321,"South Africa","Natal","","",\N
41,"Lesotho",320,"Lesotho","","","",\N
42,"Swaziland",320,"Swaziland","","","",\N
44,"Madagascar",320,"Madagascar","","","",\N
46,"Tanzania",320,"Tanzania","","","",\N
47,"Burundi",320,"Burundi","","","",\N
48,"Rwanda",320,"Rwanda","","","",\N
50,"Congo",320,"Congo","","","",\N
51,"Uganda",320,"Uganda","","","",\N
52,"Kenya",320,"Kenya","","","",\N
53,"Ethiopia",320,"Ethiopia","","","",\N
54,"Somalia",320,"Somalia","","","",\N
55,"Dijbouti",320,"Dijbouti","","","",\N
56,"Sudan",320,"Sudan","","","",\N
57,"Egypt",320,"Egypt","","","",\N
58,"Libya",320,"Libya","","","",\N
59,"Chad",320,"Chad","","","",\N
60,"Central African Republic",320,"Central African Republic","","","",\N
61,"Gabon",320,"Gabon","","","",\N
62,"Equatorial Guinea",320,"Equatorial Guinea","","","",\N
63,"Sao Tome and Principe",320,"Sao Tome and Principe","","","",\N
64,"Cameroon",320,"Cameroon","","","",\N
65,"Nigeria",320,"Nigeria","","","",\N
66,"Niger",320,"Niger","","","",\N
67,"Benin",320,"Benin","","","",\N
68,"Togo",320,"Togo","","","",\N
69,"Ghana",320,"Ghana","","","",\N
70,"Ivory Coast",320,"Ivory Coast","","","",\N
71,"Liberia",320,"Liberia","","","",\N
72,"Sierra Leone",320,"Sierra Leone","","","",\N
73,"Guinea",320,"Guinea","","","",\N
74,"Guinea-Bissau",320,"Guinea-Bissau","","","",\N
75,"Senegal",320,"Senegal","","","",\N
76,"Gambia",320,"Gambia","","","",\N
77,"Upper Volta",320,"Upper Volta","","","",\N
78,"Mali",320,"Mali","","","",\N
79,"Mauritania",320,"Mauritania","","","",\N
80,"Western Sahara",320,"Western Sahara","","","",\N
81,"Morocco",320,"Morocco","","","",\N
82,"Algeria",320,"Algeria","","","",\N
83,"Tunisia",320,"Tunisia","","","",\N
84,"Yemen",320,"Yemen","","","",\N
85,"P. D. R. of Yemen",320,"P. D. R. of Yemen","","","",\N
86,"Oman",320,"Oman","","","",\N
87,"United Arab Emirates",320,"United Arab Emirates","","","",\N
88,"Qatar",320,"Qatar","","","",\N
89,"Bahrain",320,"Bahrain","","","",\N
90,"Saudi Arabia",320,"Saudi Arabia","","","",\N
91,"Kuwait",320,"Kuwait","","","",\N
92,"Iraq",320,"Iraq","","","",\N
93,"Iran",320,"Iran","","","",\N
94,"Jordan",320,"Jordan","","","",\N
95,"Israel",320,"Israel","","","",\N
96,"Lebanon",320,"Lebanon","","","",\N
97,"Syria",320,"Syria","","","",\N
98,"Cyprus",320,"Cyprus","","","",\N
99,"Turkey",320,"Turkey","","","",\N
100,"Russia",320,"Russia","","","",\N
101,"Greece",320,"Greece","","","",\N
102,"Bulgaria",320,"Bulgaria","","","",\N
103,"Albania",320,"Albania","","","",\N
104,"Yugoslavia",320,"Yugoslavia","","","",\N
105,"Romania",320,"Romania","","","",\N
106,"Hungary",320,"Hungary","","","",\N
107,"Czechoslovakia",320,"Czechoslovakia","","","",\N
108,"Austria",320,"Austria","","","",\N
109,"Poland",320,"Poland","","","",\N
110,"Italy",320,"Italy","","","",\N
111,"Switzerland",320,"Switzerland","","","",\N
112,"Portugal",320,"Portugal","","","",\N
113,"Spain",320,"Spain","","","",\N
114,"France",320,"France","","","",\N
115,"Ireland",320,"Ireland","","","",\N
116,"United Kingdom",320,"United Kingdom","","","",\N
117,"Belgium",320,"Belgium","","","",\N
118,"Netherlands",320,"Netherlands","","","",\N
119,"Germany",320,"Germany","","","",\N
120,"Denmark",320,"Denmark","","","",\N
121,"Norway",320,"Norway","","","",\N
122,"Sweden",320,"Sweden","","","",\N
123,"Finland",320,"Finland","","","",\N
124,"Greenland",143,"Denmark","","","",\N
125,"Iceland",320,"Iceland","","","",\N
126,"Shetland Islands",323,"United Kingdom","","","",\N
127,"Orkney Islands",323,"United Kingdom","","","",\N
128,"Azores",323,"Portugal","Azores","","",\N
129,"Madeira",323,"Portugal","","","",\N
130,"Canary Islands",323,"Spain","","","",\N
131,"Cape Verde Islands",320,"Cape Verde Islands","","","",\N
132,"Ascension",143,"United Kingdom","","","",\N
133,"Saint Helena",143,"United Kingdom","Saint Helena","","",\N
134,"Tristan da Cunha Group",323,"United Kingdom","","","",\N
135,"Gough",143,"United Kingdom","","","",\N
136,"Ilhas da Trindade",323,"Brazil","","","",\N
137,"South Georgia",143,"United Kingdom","","","",\N
