1	"Allman, S. L."	1939	"Allman, S. L. 1939. The Queensland fruit fly.  Observations on breeding and development Agricultural Gazette of New South Wales 50:499-501, 547-9"	"Allman 1939"
2	"Arambourg, Y."	1962	"Arambourg, Y. 1962. Observations sur la biologie de Dacus oleae Gmel. et de son parasite Opius concolor Szepl. dans la region de Sfax en 1961-1962 Bulletin de la Societe Entomologique de France 67:197-203"	"Arambourg 1962"
3	"Back, E. A. and Pemberton, C. E."	1915	"Back, E. A. and Pemberton, C. E. 1915b. Parasitism among the larvae of the Mediterranean fruit fly (C. capitata) in Hawaii during 1914 Report of the Board of Commissioners of Agriculture and Forestry of the Territory of Hawaii pp. 153-161"	"Back and Pemberton 1915b"
4	"Back, E. A. and Pemberton, C. E."	1916	"Back, E. A. and Pemberton, C. E. 1916. Parasitism among the larvae of the Mediterranean fruit-fly (C. capitata) in Hawaii during 1915 Journal of Economic Entomology 9:306-310"	"Back and Pemberton 1916 "
5	"Back, E. A. and Pemberton, C. E."	1918	"Back, E. A. and Pemberton, C. E. 1918. The Mediterranean fruit fly in Hawaii United States Department of Agriculture Bulletin 536:1-118"	"Back and Pemberton 1918"
6	"Baker, A. C.; Stone, W. E.; Plummer, C. C.; McPhail, M."	1944	"Baker, A. C.; Stone, W. E.; Plummer, C. C.; McPhail, M. 1944. A review of studies on the Mexican fruit fly and related Mexican species United States Department of Agriculture Miscellaneous Publication 531:1-155"	"Baker et al. 1944"
7	"Bachmaier, F."	1965	"Bachmaier, F. 1965. Untersuchungen ueber die Insekten- und Milbenfauna der Zwergbirke (Betula nana L.) in sueddeutschen und oesterreichischen Mooren, unter besonderer Beruecksichtigung der phytophagen Arten und ihrer Parasiten Veroeffentlichungen der Zoologischen Staatssammlung (Muenchen) 9:55-158"	"Bachmaier 1965"
8	"Balachowsky, A."	1931	"Balachowsky, A. 1931.  pp.93-97 In: Rapports sommaires sur les travaux accomplis dans les laboratoires en 1930.. "	"Balachowsky 1931"
9	"Bartlett, K. A."	1941	"Bartlett, K. A. 1941. The introduction and colonization in Puerto Rico of beneficial insects parasitic on West Indian fruitflies Journal of Agriculture of the University of Puerto Rico 25:25-31"	"Bartlett 1941"
10	"Batra, H. N."	1954	"Batra, H. N. 1954. Biology and control of Dacus diversus Coquillett and Carpomyia vesuviana Costa and important notes on other fruit flies in India Indian Journal of Agricultural Sciences 23:87-112"	"Batra 1954 "
