superfamily,family,subfamily,genus,genus and synonyms
Chalcidoidea,Agaonidae,Agaoninae,Agaon,Agaon Dalman 1818
Chalcidoidea,Agaonidae,Agaoninae,Alfonsiella,Alfonsiella Waterston 1920
Chalcidoidea,Agaonidae,Agaoninae,Allotriozoon,Allotriozoon Grandi 1916
Chalcidoidea,Agaonidae,Agaoninae,Blastophaga,Blastophagus Gravenhorst 1827	Blastophaga Gravenhorst 1829	Valisia Wiebes 1993
Chalcidoidea,Agaonidae,Agaoninae,Ceratosolen,Sycocrypta Coquerel 1855 Homo.	Ceratosolen Mayr 1885	Ceratosolensia Girault 1915	Rothropus Wiebes 1994	Strepitus Wiebes 1994
Chalcidoidea,Agaonidae,Agaoninae,Courtella,Courtella Kieffer 1912
Chalcidoidea,Agaonidae,Agaoninae,Deilagaon,Deilagaon Wiebes 1977
Chalcidoidea,Agaonidae,Agaoninae,Dolichoris,Dolichoris Hill 1967
Chalcidoidea,Agaonidae,Agaoninae,Elisabethiella,Elisabethiella Grandi 1928
Chalcidoidea,Agaonidae,Agaoninae,Eupristina,Eupristina Saunders 1882	Maniella Abdurahiman & Joseph 1967	Parapristina Hill 1967
Chalcidoidea,Agaonidae,Agaoninae,Kradibia,Kradibia Saunders 1883	Kradibiella Girault 1915	Paraceratosolen Girault 1915
Chalcidoidea,Agaonidae,Agaoninae,Liporrhopalum,Liporrhopalum Waterston 1920
Chalcidoidea,Agaonidae,Agaoninae,Nigeriella,Nigeriella Wiebes 1974
Chalcidoidea,Agaonidae,Agaoninae,Paragaon,Paragaon Joseph 1959
Chalcidoidea,Agaonidae,Agaoninae,Pegoscapus,Eisenia Ashmead 1904 Homo.	Pegoscapus Cameron 1906	Eiseniella Ashmead 1906	Secundeisenia Schulz 1906	Allopade Strand 1911 Syn.	Julienella Grandi 1919	Valentinella Grandi 1919	Tristaniella Grandi 1963
Chalcidoidea,Agaonidae,Agaoninae,Platyscapa,Platyscapa Motschulsky 1863	Platyscapha Dalla Torre 1898
Chalcidoidea,Agaonidae,Agaoninae,Pleistodontes,Pleistodontes Saunders 1882	Neoceratosolens Girault 1915	Proceratosolens Girault 1933
Chalcidoidea,Agaonidae,Agaoninae,Sycobiomorphella,Sycobiomorphella Abdurahiman & Joseph 1967
Chalcidoidea,Agaonidae,Agaoninae,Sycophilodes,Sycophilodes Joseph 1961
Chalcidoidea,Agaonidae,Agaoninae,Sycophilomorpha,Sycophilomorpha Joseph & Abdurahiman 1969
Chalcidoidea,Agaonidae,Agaoninae,Tetrapus,Tetrapus Mayr 1885
Chalcidoidea,Agaonidae,Agaoninae,Waterstoniella,Waterstoniella Grandi 1921
Chalcidoidea,Agaonidae,Agaoninae,Wiebesia,Wiebesia Boucek 1988
Chalcidoidea,Agaonidae,Epichrysomallinae,Acophila,Acophila Ishii 1934
Chalcidoidea,Agaonidae,Epichrysomallinae,Asycobia,Asycobia Boucek 1988
Chalcidoidea,Agaonidae,Epichrysomallinae,Camarothorax,Camarothorax Mayr 1906	Sycobiomorpha Joseph 1961	Pilkhanivora Farooqi & Menon 1973
Chalcidoidea,Agaonidae,Epichrysomallinae,Epichrysomalla,Epichrysomalla Girault 1915
Chalcidoidea,Agaonidae,Epichrysomallinae,Eufroggattisca,Eufroggattia Ashmead 1904	Froggattia Ashmead 1904	Eufroggattisca Ghesquière 1946	Eufroggattiana Gahan 1947
Chalcidoidea,Agaonidae,Epichrysomallinae,Herodotia,Herodotia Girault 1931
Chalcidoidea,Agaonidae,Epichrysomallinae,Josephiella,Josephiella Narendran 1994
Chalcidoidea,Agaonidae,Epichrysomallinae,Meselatus,Meselatus Girault 1922	Austroperilampus Dodd 1924	Pembertonia Gahan 1947
Chalcidoidea,Agaonidae,Epichrysomallinae,Neosycophila,Neosycophila Grandi 1923
Chalcidoidea,Agaonidae,Epichrysomallinae,Odontofroggatia,Odontofroggatia Ishii 1934
Chalcidoidea,Agaonidae,Epichrysomallinae,Parapilkhanivora,Parapilkhanivora Farooqi & Menon 1973
Chalcidoidea,Agaonidae,Epichrysomallinae,Sycobia,Sycobia Walker 1871	Agrianisa Walker 1875
Chalcidoidea,Agaonidae,Epichrysomallinae,Sycotetra,Sycotetra Boucek 1981
Chalcidoidea,Agaonidae,Otitesellinae,Aepocerus,Aepocerus Mayr 1885
Chalcidoidea,Agaonidae,Otitesellinae,Comptoniella,Comptoniella Wiebes 1992
Chalcidoidea,Agaonidae,Otitesellinae,Eujacobsonia,Eujacobsonia Grandi 1923
Chalcidoidea,Agaonidae,Otitesellinae,Grandiana,Grandiana Wiebes 1961
Chalcidoidea,Agaonidae,Otitesellinae,Grasseiana,Grasseiana Abdurahiman & Joseph 1968
Chalcidoidea,Agaonidae,Otitesellinae,Guadalia,Guadalia Wiebes 1967
Chalcidoidea,Agaonidae,Otitesellinae,Heterandrium,Heterandrium Mayr 1885	Colyostichus Mayr 1885
Chalcidoidea,Agaonidae,Otitesellinae,Lipothymus,Lipothymus Grandi 1921
Chalcidoidea,Agaonidae,Otitesellinae,Micranisa,Micranisa Walker 1875	Sycobiella Westwood 1883	Epicolystichus Girault 1915
Chalcidoidea,Agaonidae,Otitesellinae,Micrognathophora,Micrognathophora Grandi 1921
Chalcidoidea,Agaonidae,Otitesellinae,Otitesella,Otitesella Westwood 1883	Paracolystichus Girault 1915
Chalcidoidea,Agaonidae,Otitesellinae,Philosycella,Philosycella Abdurahiman & Joseph 1976
Chalcidoidea,Agaonidae,Otitesellinae,Philosycus,Philosycus Wiebes 1969
Chalcidoidea,Agaonidae,Otitesellinae,Walkerella,Walkerella Westwood 1883	Asemantoideus Girault 1916	Tetrastiozoon Grandi 1921
Chalcidoidea,Agaonidae,Sycoecinae,Crossogaster,Crossogaster Mayr 1885
Chalcidoidea,Agaonidae,Sycoecinae,Diaziella,Diaziella Grandi 1928
Chalcidoidea,Agaonidae,Sycoecinae,Philocaenus,Philocaenus Grandi 1952	Phagoblastus Grandi 1955
Chalcidoidea,Agaonidae,Sycoecinae,Robertsia,Robertsia Boucek 1988
Chalcidoidea,Agaonidae,Sycoecinae,Seres,Seres Waterston 1919
Chalcidoidea,Agaonidae,Sycoecinae,Sycoecus,Sycoecus Waterston 1914
Chalcidoidea,Agaonidae,Sycophaginae,Anidarnes,Anidarnes Boucek 1993
Chalcidoidea,Agaonidae,Sycophaginae,Apocryptophagus,Apocryptophagus Ashmead 1904	Dynatogmus Mayr 1906	Koebelea Girault 1915	Sycophagella Joseph 1953	Parakoebelea Joseph 1957
Chalcidoidea,Agaonidae,Sycophaginae,Eukoebelea,Eukoebelea Ashmead 1904	Koebelea Ashmead 1904	Philotrypesopsis Girault 1919
Chalcidoidea,Agaonidae,Sycophaginae,Idarnes,Idarnes Walker 1843	Platyneura Motschulsky 1863	Ganosoma Mayr 1885	Tetragonaspis Mayr 1885
Chalcidoidea,Agaonidae,Sycophaginae,Pseudidarnes,Pseudidarnes Girault 1927
Chalcidoidea,Agaonidae,Sycophaginae,Sycophaga,Sycophaga Westwood 1840
Chalcidoidea,Agaonidae,Sycoryctinae,Apocrypta,Apocrypta Coquerel 1855	Goniogaster Mayr 1885	Agaonella Baker 1913	Idarnoides Girault 1913	Goniogastrella Girault & Dodd 1915
Chalcidoidea,Agaonidae,Sycoryctinae,Arachonia,Arachonia Joseph 1957
Chalcidoidea,Agaonidae,Sycoryctinae,Critogaster,Critogaster Mayr 1885	Trichaulus Mayr 1885
Chalcidoidea,Agaonidae,Sycoryctinae,Dobunabaa,Dobunabaa Boucek 1988
Chalcidoidea,Agaonidae,Sycoryctinae,Parasycobia,Parasycobia Abdurahiman & Joseph 1967
Chalcidoidea,Agaonidae,Sycoryctinae,Philotrypesis,Philotrypesis Förster 1878	Polanisa Walker 1875	Idarnella Westwood 1883	Idarnodes Westwood 1883	Sycoscaptella Westwood 1883	Sycoscapterella Ashmead 1904	Tetranemopteryx Ashmead 1904	Philotrypomorpha Abdurahiman & Joseph 1976
Chalcidoidea,Agaonidae,Sycoryctinae,Sycoscapter,Sycoscapter Saunders 1883	Sycoryctes Mayr 1885	Sycoscapteridea Ashmead 1904	Idarnomorpha Girault 1915	Philotrypesella Girault 1919	Ideoidarnes Girault 1931	Indothymus Joseph 1953	Neosycoecus Joseph 1953	Grandimyia Risbec 1956	Sycorycteridea Abdurahiman & Joseph 1975
Chalcidoidea,Agaonidae,Sycoryctinae,Tenka,Tenka Boucek 1988
Chalcidoidea,Agaonidae,Sycoryctinae,Watshamiella,Watshamiella Wiebes 1981
Chalcidoidea,Aphelinidae,Aphelininae,Aphelinus,Aphelinus Dalman 1820	Agonioneurus Westwood 1833	Myina Nees 1834	Eriophilus Haldeman 1851	Anozus Förster 1856	Mesidia Förster 1856	Meroligon Rondani 1877	Mesidiopsis Nowicki 1930	Paulianaphelinus Risbec 1957	Indaphelinus Hayat 1990
Chalcidoidea,Aphelinidae,Aphelininae,Aphytis,Aphytis Howard 1900	Prospaphelinus De Gregorio 1914	Paraphytis Compere 1925	Syediella Shafee 1970
Chalcidoidea,Aphelinidae,Aphelininae,Botryoideclava,Botryoideclava Subba Rao 1980
Chalcidoidea,Aphelinidae,Aphelininae,Centrodora,Centrodora Förster 1878	Paraphelinus Perkins 1906	Tumidiscapus Girault 1911	Plastocharella Girault 1913	Microeupelmus Otten 1941	Pechlaneria Soyka 1948	Debachiella Gordh & Rosen 1973	Oolathron De Santis 1981
Chalcidoidea,Aphelinidae,Aphelininae,Eutrichosomella,Eutrichosomella Girault 1915
Chalcidoidea,Aphelinidae,Aphelininae,Hirtaphelinus,Hirtaphelinus Hayat 1983
Chalcidoidea,Aphelinidae,Aphelininae,Marietta,Marietta Motschulsky 1863	Perissopterus Howard 1895	Pseudaphelinus Brèthes 1918
Chalcidoidea,Aphelinidae,Aphelininae,Marlattiella,Marlattiella Howard 1907
Chalcidoidea,Aphelinidae,Aphelininae,Proaphelinoides,Proaphelinoides Girault 1917	Bestiola Nikol'skaya 1963
Chalcidoidea,Aphelinidae,Aphelininae,Protaphelinus,Protaphelinus Mackauer 1972
Chalcidoidea,Aphelinidae,Aphelininae,Samariola,Samariola Hayat 1983
Chalcidoidea,Aphelinidae,Azotinae,Ablerus,Ablerus Howard 1894	Azotus Howard 1898	Myocnemella Girault 1913	Dimacrocerus Brèthes 1914
Chalcidoidea,Aphelinidae,Calesinae,Cales,Cales Howard 1907	Diaspidophilus Brèthes 1914	Paranthemus Girault 1915
Chalcidoidea,Aphelinidae,Coccophaginae,Bardylis,Bardylis Howard 1907	Neocasca Girault 1915	Pteroptrixella Girault 1932	Metacasca Girault 1934	Dahmsiella Hayat 1979
Chalcidoidea,Aphelinidae,Coccophaginae,Coccobius,Coccobius Ratzeburg 1852	Physcus Howard 1895	Encyrtophyscus Blanchard 1940	Encyrtophyscus Blanchard 1948	Physculus Yasnosh 1977
Chalcidoidea,Aphelinidae,Coccophaginae,Coccophagoides,Coccophagoides Girault 1915	Diaspiniphagus Silvestri 1927	Primaprospaltella DeBach & LaSalle 1981
Chalcidoidea,Aphelinidae,Coccophaginae,Coccophagus,Coccophagus Westwood 1833	Aneristus Howard 1895	Paracharitopus Brèthes 1913	Ataneostigma Girault 1914	Euxanthellus Silvestri 1915	Prococcophagus Silvestri 1915	Taneostigmoidella Girault 1915	Onophilus Brèthes 1918	Parencarsia Mercet 1930	Heptacritus De Santis 1960	Aclerdaephagus Sugonjaev 1969	Polycoccophagus Sugonjaev 1976	Dicoccophagus Sugonjaev 1994
Chalcidoidea,Aphelinidae,Coccophaginae,Dirphys,Dirphys Howard 1914
Chalcidoidea,Aphelinidae,Coccophaginae,Encarsia,Encarsia Förster 1878	Aspidiotiphagus Howard 1894	Prospalta Howard 1894	Prospaltella Ashmead 1904	Mimatomus Cockerell 1911	Doloresia Mercet 1912	Prospaltoides Brèthes 1914	Paraspidiotiphagus Alam 1956	Aleurodiphilus DeBach & Rose 1981
Chalcidoidea,Aphelinidae,Coccophaginae,Encarsiella,Encarsiella Hayat 1983
Chalcidoidea,Aphelinidae,Coccophaginae,Lounsburyia,Lounsburyia Compere & Annecke 1961
Chalcidoidea,Aphelinidae,Coccophaginae,Oenrobia,Oenrobia Hayat 1995
Chalcidoidea,Aphelinidae,Coccophaginae,Prophyscus,Prophyscus De Santis 1940
Chalcidoidea,Aphelinidae,Coccophaginae,Pteroptrix,Pteroptrix Westwood 1833	Gyrolasia Förster 1856	Archenomus Howard 1898	Pterothrix Dalla Torre 1898	Artas Howard 1907	Casca Howard 1907	Hispaniella Mercet 1912	Pteroptrichoides Fullaway 1913	Apteroptrix Girault 1915	Pseudopteroptrix Fullaway 1918	Oa Girault 1929	Aphelosoma Nikol'skaya 1963	Archenomiscus Nikol'skaya & Yasnosh 1966
Chalcidoidea,Aphelinidae,Coccophaginae,Timberlakiella,Timberlakiella Compere 1936
Chalcidoidea,Aphelinidae,Coccophaginae,Verekia,Verekia Risbec 1954
Chalcidoidea,Aphelinidae,Eretmocerinae,Eretmocerus,Eretmocerus Haldeman 1850	Ricinusa Risbec 1951
Chalcidoidea,Aphelinidae,Eriaphytinae,Eriaphytis,Eriaphytis Hayat 1972
Chalcidoidea,Aphelinidae,Eriaporinae,Eunotiscus,Eunotiscus Compere 1928
Chalcidoidea,Aphelinidae,Euryischiinae,Euryischia,Euryischia Riley 1889
Chalcidoidea,Aphelinidae,Euryischiinae,Euryischomyia,Euryischomyia Girault 1914	Paramyiocnema Girault 1917 Syn.
Chalcidoidea,Aphelinidae,Euryischiinae,Myiocnema,Myiocnema Ashmead 1900
Chalcidoidea,Aphelinidae,Eriaporinae,Promuscidea,Promuscidea Girault 1917	Eriaporus Waterston 1917	Mesopirene Girault 1919	Eurymyiocnema Compere 1947
Chalcidoidea,Chalcididae,Chalcidinae,Acrocentrus,Acrocentrus Steffan 1959
Chalcidoidea,Chalcididae,Chalcidinae,Aplorhinus,Aplorhinus Masi 1924
Chalcidoidea,Chalcididae,Chalcidinae,Hovachalcis,Hovachalcis Steffan 1949
Chalcidoidea,Chalcididae,Chalcidinae,Marres,Marres Walker 1841	Larradomorpha Stadelmann 1892
Chalcidoidea,Chalcididae,Chalcidinae,Megachalcis,Megachalcis Cameron 1903	Allocentrus Cameron 1911	Macrochalcis Masi 1944
Chalcidoidea,Chalcididae,Chalcidinae,Megalocolus,Megalocolus Kirby 1883	Pentachalcis Cameron 1908	Hexachalcis Cameron 1911
Chalcidoidea,Chalcididae,Chalcidinae,Philocentrus,Philocentrus Steffan 1959
Chalcidoidea,Chalcididae,Chalcidinae,Pilismicra,Pilismicra Boucek 1992
Chalcidoidea,Chalcididae,Chalcidinae,Plastochalcis,Plastochalcis Masi 1943
Chalcidoidea,Chalcididae,Chalcidinae,Spatocentrus,Spatocentrus Steffan 1959
Chalcidoidea,Chalcididae,Chalcidinae,Stenochalcis,Stenochalcis Masi 1929
Chalcidoidea,Chalcididae,Chalcidinae,Trigonurella,Trigonurella Boucek 1988
Chalcidoidea,Chalcididae,Chalcidinae,Vespomorpha,Vespomorpha Steffan 1959
Chalcidoidea,Chalcididae,Chalcidinae Brachymeriini,Brachymeria,Brachymeria Westwood 1829	Thaumatelia Kirby 1883	Oncochalcis Cameron 1904	Holochalcis Kieffer 1905	Ceyxia Girault 1911	Tumidicoxa Girault 1911	Thaumateliana Girault 1912	Brachepitelia Girault 1913	Pseudepitelia Girault 1913	Tumidicoxella Girault 1913	Tumidicoxoides Girault 1913	Dirrhinomorpha Girault & Dodd 1915	Mirochalcis Girault 1915	Meyeriella Krausse 1917	Neobrachymeria Masi 1929	Australochalcis Girault 1939	Gahanula Burks 1960	Matsumurameria Habu 1960	Pseudobrachymeria Burks 1960
Chalcidoidea,Chalcididae,Chalcidinae Brachymeriini,Caenobrachymeria,Caenobrachymeria Steffan 1974
Chalcidoidea,Chalcididae,Chalcidinae Chalcidini,Chalcis,Chalcis Fabricius 1787	Smiera Spinola 1811	Smicra Spinola 1837
